Datetime;Resolution code;Offshore/onshore;Region;Grid connection type;Measured & Upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor;Decremental bid Indicator
2025-12-23T12:45:00+01:00;PT15M;Onshore;Wallonia;Elia;38.86;37.9;20.9;57.5;37.2;22.3;62.8;38.7;23.4;60.9;2.9;1.0;39.4;188.2;0.21;''
2025-12-23T12:30:00+01:00;PT15M;Onshore;Wallonia;Elia;38.71;36.3;20.3;54.6;35.9;22.6;59.7;37.4;23.3;58.3;2.9;1.0;38.7;188.2;0.21;''
2025-12-23T12:15:00+01:00;PT15M;Onshore;Wallonia;Elia;39.04;34.9;19.5;52.2;34.8;22.3;57.6;36.3;22.9;56.5;2.9;1.0;37.6;188.2;0.21;''
2025-12-23T12:00:00+01:00;PT15M;Onshore;Wallonia;Elia;36.82;33.4;18.2;50.6;33.8;21.1;56.3;35.3;21.8;55.5;2.9;1.0;36.4;188.2;0.2;''
2025-12-23T11:45:00+01:00;PT15M;Onshore;Wallonia;Elia;34.82;31.9;16.9;49.6;32.5;19.6;54.9;33.8;20.5;54.2;2.7;1.0;35.1;188.2;0.18;''
2025-12-23T11:30:00+01:00;PT15M;Onshore;Wallonia;Elia;36.44;31.0;15.7;48.5;31.8;18.8;54.1;33.2;19.8;53.3;2.7;1.1;34.0;188.2;0.19;''
2025-12-23T11:15:00+01:00;PT15M;Onshore;Wallonia;Elia;40.45;29.9;14.7;47.4;31.2;17.7;53.2;32.5;19.0;52.7;2.6;1.1;33.3;188.2;0.21;''
2025-12-23T11:00:00+01:00;PT15M;Onshore;Wallonia;Elia;41.84;29.1;13.8;46.3;30.5;16.7;52.6;31.8;18.2;51.9;2.5;1.1;32.9;188.2;0.22;''
2025-12-23T10:45:00+01:00;PT15M;Onshore;Wallonia;Elia;40.0;28.7;13.6;46.4;29.5;15.5;51.8;31.5;17.7;51.5;2.4;1.1;32.5;188.2;0.21;''
2025-12-23T10:30:00+01:00;PT15M;Onshore;Wallonia;Elia;38.55;27.9;12.7;45.4;29.4;15.1;51.6;31.2;17.5;51.0;2.4;1.1;31.8;188.2;0.2;''
2025-12-23T10:15:00+01:00;PT15M;Onshore;Wallonia;Elia;37.7;27.2;12.2;44.4;29.2;15.0;51.2;30.8;17.3;50.6;2.4;1.1;31.2;188.2;0.2;''
2025-12-23T10:00:00+01:00;PT15M;Onshore;Wallonia;Elia;39.77;26.4;11.8;43.0;28.8;14.8;50.9;30.6;17.4;50.3;2.3;1.1;30.2;188.2;0.21;''
2025-12-23T09:45:00+01:00;PT15M;Onshore;Wallonia;Elia;35.69;26.7;12.5;43.1;29.0;15.3;51.1;31.2;18.3;50.7;2.3;1.1;29.3;188.2;0.19;''
2025-12-23T09:30:00+01:00;PT15M;Onshore;Wallonia;Elia;35.88;26.1;11.9;42.5;28.8;15.3;50.6;30.9;18.3;50.5;2.3;1.1;28.8;188.2;0.19;''
2025-12-23T09:15:00+01:00;PT15M;Onshore;Wallonia;Elia;30.14;25.5;11.0;41.7;28.6;15.2;50.3;30.6;17.9;50.1;2.3;1.1;28.7;188.2;0.16;''
2025-12-23T09:00:00+01:00;PT15M;Onshore;Wallonia;Elia;28.41;24.4;10.4;40.4;28.4;14.9;49.7;30.3;17.2;49.8;2.3;1.0;29.1;188.2;0.15;''
2025-12-23T08:45:00+01:00;PT15M;Onshore;Wallonia;Elia;32.53;23.5;9.3;39.8;28.4;15.0;49.5;29.9;16.5;49.5;2.3;1.0;29.6;188.2;0.17;''
2025-12-23T08:30:00+01:00;PT15M;Onshore;Wallonia;Elia;26.55;22.3;8.2;38.4;28.2;15.0;48.8;29.3;15.8;48.6;2.3;1.1;30.0;188.2;0.14;''
2025-12-23T08:15:00+01:00;PT15M;Onshore;Wallonia;Elia;25.86;21.1;7.7;36.6;27.8;15.2;48.0;28.6;15.6;47.4;2.4;1.1;30.8;188.2;0.14;''
